no,title,date,attach_local,attach_orig
54,CM Education in Ulsan,2014/05/30,20140528.jpg,20140528.jpg
53,The 1st Contract/Claim/Risk Management Committee Meeting,2014/05/30,20140521.JPG,20140521.JPG
52,On-site Meeting at Hang-bok Convalescence Hospital CM Project in Gang-nam,2014/05/30,20140514.jpg,20140514.jpg
51,Meetings with Bangladeshi and Sri Lankan Ambassadors,2014/05/30,,
50,2014 CM Performance Review Committee Meeting,2014/05/30,,
49,The 16th Construction Management Professional Qualification Examination,2014/05/30,CMPK.JPG,CMPK.JPG
48,Shinhwa Engineering & Architects Co. Ltd. selected as the CM company to carry CM pilot project,2014/05/30,,
47,The 17th CMAK General Meeting,2014/05/30,,
46,ConsMa 2014,2014/05/30,ConsMa_2014.jpg,ConsMa 2014.jpg
45,The 2nd Overseas CM Supply Support Committee Meeting,2014/03/07,20140226.JPG,20140226.JPG
44,Presentation on implementation plans for Defense Installations Agency’s military facility proje,2014/03/07,20140207.jpg,20140207.jpg
43,Meeting to Review Improvement Measures in Public and Private CM Fee System,2014/03/07,20140206.JPG,20140206.JPG
42,CM Pilot Project in Cambodia,2014/03/07,20140204.jpg,20140204.jpg
41,2014 CM Proficiency Assessment and Public Announcement,2014/03/07,20131218.jpg,20131218.jpg
40,The 9th CM Practitioners’ Night,2014/03/07,20131212.jpg,20131212.jpg
39,Meeting to seek ways to venture into overseas construction markets,2014/03/07,20131205.JPG,20131205.JPG
38,"Presentation on 2014 Domestic and International Outlook on Construction Economy, Real Estate Ma",2014/03/07,20131204.jpg,20131204.jpg
37,CM Education in Busan,2014/03/07,20131202.jpg,20131202.jpg
36,Incheon International Airport Corporation Special CM Lecture,2013/12/02,20131128.jpg,20131128.jpg
35,"CM Education in Chungcheongbuk-Do, Daejon City, Gangwon-Do",2013/12/02,20131115.jpg,20131115.jpg
34,The 5th [Diagnosis of Issues in CM Categories] Presentation Event,2013/12/02,20131121.jpg,20131121.jpg
33,The 8th CM Slogan Competition,2013/12/02,,
32,The 12th CM Professionals Mountain Field Trip Discussion Meeting,2013/12/02,20131031.jpg,20131031.jpg
31,The 2nd Education and Training Committee Meeting,2013/12/02,20131029.JPG,20131029.JPG
30,The 6th Research Committee Meeting,2013/12/02,20131024.JPG,20131024.JPG
29,The 1st Overseas CM Supply Support Committee Meeting,2013/12/02,20131018.JPG,20131018.JPG
28,Ahyun Area 3 CM On-site Urban Re-development Maintenance Project Meeting,2013/12/02,20131016.JPG,20131016.JPG
27,The 3rd Construction VE.LCC Committee Meeting,2013/12/02,20131011_7379.JPG,20131011_7379.JPG
26,The 15th Construction Management Professional Qualification Examination,2013/12/02,20130901.jpg,20130901.jpg
25,Public announcement system for the capacity of Construction Management (PCM) 2013 Results,2013/09/02,,
24,Implementing CM in Southeast Asia,2013/08/30,4SEAA.JPG,4SEAA.JPG
23,Policy Discussion Meeting with Director General for Technology & Safety Policy of MOLIT,2013/08/30,,
22,CM Site Meeting at Sipjeong Stadium for the 17th Asian Game Incheon 2014,2013/08/30,0710.jpg,0710.jpg
21,National Assembly CM Forum,2013/08/30,,
20,The 8th CM Family Sports Day,2013/08/30,0613.jpg,0613.jpg
19,The 2nd Construction VE·LCC Committee meeting in 2013,2013/08/30,,
18,New joint hosting association of 2014 International CM Day in Seoul,2013/06/05,,
17,IDCM ASIA 2012 Forum,2012/07/02,IDCM.pdf,IDCM.pdf
16,Korean CM model shines in Cambodia,2012/06/28,120621-01.jpg,120621-01.jpg
15,2012/2013 ACTIVITY LIST OF APFPM MEMBER ASSOCIATIONS,2012/05/31,Events.pdf,Events.pdf
14,CMAK joins APFPM (Asia Pacific Federation of Project Management),2012/04/16,,
13,Signing of MOU between CMAK and CMAS,2012/04/16,CMAS_MOU.pdf,CMAS_MOU.pdf
12,CMAK takes the lead in propagating CM in Cambodian construction market,2011/08/08,,
11,National CM Briefing Tour to assist Client to better understand CM,2011/06/28,,
10,Discussion meeting with the Director General of Railroad Policy,2011/06/01,,
9,Discussion meeting with the Director General of Port Policy,2011/06/01,,
8,Discussion meeting with the Director General of Technology Safety Policy,2011/06/01,,
7,CM professional and strengthening of diversified education by CMAK,2011/05/17,,
6,ConsMa 2010 : CM Seoul Forum & Global CM Contest,2011/05/11,,
5,ConsMa 2009 : Overcoming Crisis With Wisdom,2011/05/11,,
4,ConsMa 2008 : CM as the Power of Innovation in the Construction Industry,2011/05/11,,
3,"ConsMa 2007 : CM, the Last 10 Years, the Present and the Future",2011/05/11,,
2,"ConsMa 2006 : CM, Where To From Here?",2011/05/11,,
1,ConsMa 2005 : For Prosperity of Mankind,2011/05/11,,
